date,VOO,KMLM
2003-03-24,235.1538992601,483.8339963543
2003-03-25,237.4053732012,481.3222321560
2003-03-26,236.2117292618,483.0247869304
2003-03-27,236.4017105754,488.8141736341
2003-03-28,235.2082248351,492.4964879416
2003-03-31,229.8643695734,498.1757207725
2003-04-01,233.3907068779,494.4615271124
2003-04-02,239.0328782050,483.6696846533
2003-04-03,237.8936705801,483.0560843114
2003-04-04,239.3041738621,480.6538630510
2003-04-07,238.8428968915,475.0163263210
2003-04-08,239.2227962389,479.4609855592
2003-04-09,236.0761684428,486.7743442557
2003-04-10,237.3781787739,486.4323787027
2003-04-11,236.4017105754,485.7124400245
2003-04-14,241.2844154258,486.2105465265
2003-04-15,243.5358419072,490.4321532221
2003-04-16,239.3855831251,496.1237239096
2003-04-17,242.9390515773,498.4956555910
2003-04-21,243.1830895274,498.7926223271
2003-04-22,247.7673201134,501.1210219963
2003-04-23,250.0459726619,494.2141281759
2003-04-24,247.8216773282,498.5536710477
2003-04-25,244.7564271553,498.6662509210
2003-04-28,248.9879686411,494.0950978091
2003-04-29,249.8561653674,494.7057396871
2003-04-30,249.3134633139,501.2984860336
2003-05-01,249.2864429056,505.9217007938
2003-05-02,252.8399271778,502.0073019098
2003-05-05,252.3516456188,506.9027315263
2003-05-06,254.7386645590,509.9072201674
2003-05-07,253.3282561965,510.1469772073
2003-05-08,250.7783712705,515.5915017291
2003-05-09,254.2505886589,515.8614729834
2003-05-12,257.3699429281,517.4720984034
2003-05-13,256.9087925168,521.5263857266
2003-05-14,256.3662961222,526.7289361646
2003-05-15,257.9939118654,520.7281053814
2003-05-16,257.3429225198,528.4961561246
2003-05-19,251.3209625846,531.2992571584
2003-05-20,250.8056131576,537.0232270342
2003-05-21,251.3209625846,537.9469756122
2003-05-22,253.8164902958,537.6151307717
2003-05-23,254.3318871825,541.9029677724
2003-05-27,258.7805727694,540.3648702169
2003-05-28,259.5128764585,532.1881211177
2003-05-29,258.8346610457,540.7152305114
2003-05-30,262.9849198279,540.2511043524
2003-06-02,264.0700391764,541.9847449456
2003-06-03,265.1550477856,543.4313079092
2003-06-04,268.9799384542,542.7085648036
2003-06-05,270.3090324732,550.7398052843
2003-06-06,269.2510600922,547.4041596054
2003-06-09,266.5114627913,548.3376480638
2003-06-10,269.2239764043,551.1562614903
2003-06-11,272.0720350164,553.7395255070
2003-06-12,272.9132113344,546.3954414794
2003-06-13,270.0648679639,551.2105030014
2003-06-16,275.7613648660,548.7423489860
2003-06-17,275.7613648660,546.2685163635
2003-06-18,275.5171370770,538.5670235413
2003-06-19,271.3126792791,537.9357276367
2003-06-20,270.7136741617,535.3377998815
2003-06-23,267.9368367898,538.0876517724
2003-06-24,268.2090341818,535.2816503015
2003-06-25,265.5138275516,541.9814572624
2003-06-26,268.9713324225,525.5013222780
2003-06-27,265.8680037234,524.3786729261
2003-06-30,265.7862780621,530.7163126958
2003-07-01,268.2363709883,533.4736073483
2003-07-02,271.6121501980,533.0012873868
2003-07-03,268.8080076594,527.9690448508
2003-07-07,274.1440004252,523.3627615838
2003-07-08,275.3690310684,519.0614860215
2003-07-09,273.8174141786,523.6374509465
2003-07-10,270.3325408612,524.9508387386
2003-07-11,272.8916646154,523.7199931913
2003-07-14,274.2257260865,522.4294932063
2003-07-15,273.6266893292,511.0046793819
2003-07-16,272.0204304661,508.8584938283
2003-07-17,268.1547718864,507.9735077416
2003-07-18,270.9042724518,508.5084246699
2003-07-21,267.5557351291,507.1310007667
2003-07-22,269.9787127275,498.8446328638
2003-07-23,270.1691844583,507.9980615888
2003-07-24,268.1274667197,509.2355799154
2003-07-25,272.8644227283,512.3847137887
2003-07-28,271.8570424233,508.1678495548
2003-07-29,270.6048015329,506.5298537338
2003-07-30,269.9515024802,505.3908407293
2003-07-31,270.5775280060,498.1749581061
2003-08-01,268.1820770531,505.8356864630
2003-08-04,268.1820770531,504.5195244095
2003-08-05,262.4921770539,504.2539001529
2003-08-06,264.0166944359,504.3564966136
2003-08-07,266.7933736087,509.1588892556
2003-08-08,267.5557351291,507.2000795955
2003-08-11,268.5630205146,508.8179141667
2003-08-12,271.0133349195,505.5939067037
2003-08-13,269.6247580345,501.0400879653
2003-08-14,270.3599725873,499.5106110448
2003-08-15,271.2036800910,501.2193594516
2003-08-18,273.5451851467,496.7165136830
2003-08-19,274.5794909406,496.5644450315
2003-08-20,273.4633329262,498.5452691907
2003-08-21,274.3345037958,499.4529808299
2003-08-22,271.6121501980,498.4070176279
2003-08-25,272.0477039930,496.5720588668
2003-08-26,272.5378048418,497.1691190705
2003-08-27,272.6194355835,494.3844894946
2003-08-28,274.3073251884,494.6813938945
2003-08-29,276.1584129971,499.7391317347
2003-09-02,279.8609999323,489.3441251134
2003-09-03,281.3854698545,491.7098211707
2003-09-04,281.5215843704,491.1398968556
2003-09-05,279.9425990342,492.6354155815
2003-09-08,282.2566407241,493.5857227868
2003-09-09,280.4053630765,498.1112232532
2003-09-10,277.5741368498,496.5110040696
2003-09-11,278.3908872249,496.2319913608
2003-09-12,278.9080401218,495.0939053818
2003-09-15,277.9281231827,496.3022295226
2003-09-16,281.9843167728,491.5886017210
2003-09-17,281.4397954296,492.3843032317
2003-09-18,284.7611541448,491.5045326403
2003-09-19,283.3127463556,495.3923258942
2003-09-22,280.2520997768,500.3038686159
2003-09-23,281.3179188337,499.8211331979
2003-09-24,276.3168335878,505.3695541207
2003-09-25,274.0485430811,507.0063235622
2003-09-26,273.1466815838,504.7621744702
2003-09-29,275.8248343497,507.7138357901
2003-09-30,273.1466815838,511.9387982176
2003-10-01,278.9675546277,517.7101776776
2003-10-02,279.9786367919,519.3207234236
2003-10-03,282.5476005308,511.9573226913
2003-10-06,283.8321140400,517.4795401628
2003-10-07,284.9253331831,520.2702965249
2003-10-08,284.2147344122,519.8420578757
2003-10-09,284.9798169573,520.8078410942
2003-10-10,285.7723945081,528.4670742843
2003-10-13,286.6742876452,530.9405745807
2003-10-14,287.6853698094,530.1637951123
2003-10-15,286.9201290652,525.5134409558
2003-10-16,288.0678003426,522.9685221187
2003-10-17,284.9253331831,525.2407866394
2003-10-20,287.0568447377,526.0215216502
2003-10-21,286.5650986182,526.3701053631
2003-10-22,282.9575893493,531.8836850621
2003-10-23,282.4383482241,528.9299840858
2003-10-24,283.0668732958,531.3196031118
2003-10-27,283.2034624090,530.8026662679
2003-10-28,287.0568447377,528.9615383279
2003-10-29,287.4393701904,528.3711543109
2003-10-30,288.0404635361,524.0680303099
2003-10-31,287.7673802290,526.4690830172
2003-11-03,289.6529870840,520.6214681922
2003-11-04,289.0243354530,522.3149592636
2003-11-05,289.2431248248,527.2274431415
2003-11-06,290.7734797540,524.4529804791
2003-11-07,288.6144731938,530.3020630108
2003-11-10,287.4393701904,531.0840496562
2003-11-11,287.3575179698,531.7795982451
2003-11-12,290.5822486675,536.0167333684
2003-11-13,290.6640376084,540.0561571164
2003-11-14,288.2044210957,541.0243577166
2003-11-17,286.7562980648,536.1068287157
2003-11-18,283.7774404270,547.4640445467
2003-11-19,286.1822567673,538.6085889566
2003-11-20,283.6133246682,541.0815805415
2003-11-21,284.7884909513,542.9079494347
2003-11-24,288.5598628604,532.6022381128
2003-11-25,289.6529870840,534.4818576522
2003-11-26,290.6915642538,541.8790853923
2003-11-28,290.9101005071,544.8749933858
2003-12-01,294.0528207851,543.9660511579
2003-12-02,293.3149484872,550.0217579384
2003-12-03,292.8504758946,550.4538704516
2003-12-04,294.0528207851,543.4083020442
2003-12-05,292.0032563705,543.4853520891
2003-12-08,293.9708736451,547.0282714356
2003-12-09,291.7026147782,545.9916559573
2003-12-10,291.6753412513,543.0002911902
2003-12-11,294.9547139222,542.1359326723
2003-12-12,295.5286286605,546.1764108241
2003-12-15,294.0528207851,549.7197901757
2003-12-16,295.5831440745,548.2043768826
2003-12-17,296.5123107385,551.3229435703
2003-12-18,299.8465468614,555.0870947815
2003-12-19,299.0117301478,553.5251186542
2003-12-22,301.0985029934,547.4874447734
2003-12-23,301.2908098339,546.6627536238
2003-12-24,300.9886495301,553.6886347168
2003-12-26,301.2084197364,554.7937371308
2003-12-29,305.2171535930,553.9538484766
2003-12-30,305.2719854052,558.5388874273
2003-12-31,305.5466507033,557.3933668045
2004-01-02,305.4093971538,563.4810472435
2004-01-05,308.7316734239,579.1188093459
2004-01-06,309.0338337277,579.5103715616
2004-01-07,310.0771885107,575.3170963669
2004-01-08,311.3126602953,585.6346181933
2004-01-09,308.5943249549,591.2192575490
2004-01-12,310.8733413614,591.4416023453
2004-01-13,309.0611388944,587.6143021613
2004-01-14,311.6421257658,587.0216639190
2004-01-15,312.4110050896,573.7945642199
2004-01-16,313.6466667131,575.3844994344
2004-01-20,313.5641816961,587.6422026204
2004-01-21,316.0354733033,590.8303492318
2004-01-22,315.2116672478,594.7375353568
2004-01-23,314.1956492713,586.9430183881
2004-01-26,318.1495829555,578.4435826580
2004-01-27,314.8820752180,582.7951268512
2004-01-28,311.2852918489,572.4489681566
2004-01-29,311.5871990341,563.8886765639
2004-01-30,311.5871990341,569.7587338228
2004-02-02,312.9327774006,571.0837512242
2004-02-03,312.4110050896,574.6305241904
2004-02-04,309.8574815840,569.4451716277
2004-02-05,310.7636777370,571.4589913782
2004-02-06,314.2507974817,577.9333270117
2004-02-09,314.3330610199,583.3365546048
2004-02-10,315.3489524371,585.3662774014
2004-02-11,318.6987237128,595.2787713915
2004-02-12,317.5455787461,594.0748087801
2004-02-13,316.1177684813,595.5490674554
2004-02-17,318.9732940915,604.3816167981
2004-02-18,317.5730421120,596.1255777601
2004-02-19,316.3922123007,600.6170856569
2004-02-20,315.4312792550,584.2522810553
2004-02-23,314.6349682051,590.9157372943
2004-02-24,314.0858907274,600.1865486861
2004-02-25,315.4038475290,595.0451895436
2004-02-26,315.5961227296,593.1431476141
2004-02-27,315.8156714571,598.9912964057
2004-03-01,318.9457674460,602.3715897342
2004-03-02,317.0786698872,589.2581269178
2004-03-03,317.6554322095,583.4918378798
2004-03-04,318.4792066251,584.7042231938
2004-03-05,319.5497716554,595.6051146116
2004-03-08,315.6509545418,591.1854869644
2004-03-09,314.3879561118,591.4924638715
2004-03-10,309.1160339862,586.8810146175
2004-03-11,305.1073317695,588.3805358885
2004-03-12,309.1160339862,582.8658813411
2004-03-15,305.3270070563,591.4570626241
2004-03-16,306.9470292422,595.8154527748
2004-03-17,310.3790956959,602.0612053823
2004-03-18,310.4614541536,609.6959184990
2004-03-19,306.0116611729,607.3443038078
2004-03-22,302.1265124626,612.9638900181
2004-03-23,301.6029683216,611.9916522973
2004-03-24,301.8510245291,603.7614833823
2004-03-25,305.8463114611,601.0863542515
2004-03-26,305.9288597578,602.2173766976
2004-03-29,310.2272245485,600.6026461082
2004-03-30,311.2743444703,606.0757885568
2004-03-31,311.6325705394,611.3868176073
2004-04-01,313.5062491813,611.3327245205
2004-04-02,315.8757871197,596.8795564115
2004-04-05,317.6117692546,588.3513411014
2004-04-06,316.5923025375,595.1919994053
2004-04-07,315.8483553937,602.0447662648
2004-04-08,315.1319032555,598.7406827454
2004-04-12,316.3717413356,600.4755492170
2004-04-13,311.9356483980,585.8809417803
2004-04-14,312.4315393343,580.3301060815
2004-04-15,311.2467229054,579.0318924431
2004-04-16,313.6440089680,583.4822653650
2004-04-19,313.6440089680,583.8050693523
2004-04-20,308.3811991113,575.7344420162
2004-04-21,310.4477857503,562.7336465642
2004-04-22,314.8012354718,568.5423883564
2004-04-23,315.1043449702,565.6365826254
2004-04-26,314.6634440453,571.0256363503
2004-04-27,314.9390901779,575.7999420257
2004-04-28,310.8610018307,569.9460654195
2004-04-29,308.1333643825,572.3118070764
2004-04-30,305.7360783200,575.5178447777
2004-05-03,309.0148498342,581.7442159390
2004-05-04,308.7669834657,591.4615259760
2004-05-05,310.7508319691,595.9855378901
2004-05-06,308.0780579730,588.0973524673
2004-05-07,302.9806294679,580.9791769221
2004-05-10,299.8672076654,571.4061139474
2004-05-11,302.4019371165,575.3016561318
2004-05-12,304.3306690494,575.7536361531
2004-05-13,303.0633043238,573.6953123667
2004-05-14,303.2011273902,571.6082565043
2004-05-17,300.6110598898,569.5362032206
2004-05-18,302.1265124626,564.1479372168
2004-05-19,301.0792659814,577.8857272119
2004-05-20,302.0438059669,570.6692071961
2004-05-21,302.5675083070,571.1861550641
2004-05-24,303.8347781131,579.1666371438
2004-05-25,308.1883227540,579.3080835871
2004-05-26,309.2628427621,575.9557119640
2004-05-27,310.9989514563,575.1957319003
2004-05-28,310.9711400524,576.7114127781
2004-06-01,310.5578923322,589.9483898581
2004-06-02,311.7151188360,582.1506601701
2004-06-03,308.8495634021,575.5519668302
2004-06-04,311.3018078362,574.3431192457
2004-06-07,316.0412317509,575.9897020282
2004-06-08,316.4821326759,569.6894902340
2004-06-09,313.5338074666,568.5085498233
2004-06-10,315.0768183248,571.9806285918
2004-06-14,311.9632699630,569.9194077758
2004-06-15,314.1675531090,567.9080904929
2004-06-16,314.1124681782,567.5771792923
2004-06-17,313.6440089680,573.7074107001
2004-06-18,314.2357052864,574.0941809459
2004-06-21,313.0465858417,569.0086778420
2004-06-22,314.6228817930,569.8681243277
2004-06-23,317.3330224193,572.0676022186
2004-06-24,316.3376336071,575.9450299251
2004-06-25,314.8165175060,572.7603978926
2004-06-28,313.7379476007,566.0430005991
2004-06-29,315.0377747839,559.9907320306
2004-06-30,316.7245886348,561.4026948972
2004-07-01,312.3276025178,569.0909722453
2004-07-02,312.1617782086,566.8087859466
2004-07-06,309.4238894581,571.9842162304
2004-07-07,310.3365717746,573.9810478639
2004-07-08,308.1794952436,575.7040793775
2004-07-09,308.9815014614,576.4350032570
2004-07-12,309.1197358455,571.5753774676
2004-07-13,309.3409931234,569.5579000255
2004-07-14,308.4006892419,576.4295088524
2004-07-15,306.4096268589,573.1241252926
2004-07-16,306.1607163762,578.1742033972
2004-07-19,304.8610790318,578.2888110008
2004-07-20,308.7326226185,570.2801134738
2004-07-21,303.0359042376,565.8652797006
2004-07-22,303.8654687408,571.8965366612
2004-07-23,301.3212789829,568.4497217912
2004-07-26,300.7405933226,566.8717359848
2004-07-27,303.5613467680,561.7005184053
2004-07-28,304.4737126864,568.8265000057
